,Total (Without GIT),,,878,176,181,-204,-193,849,866,,160,164,-220,-210,806,819,,205,205,-215,-214,810,811,,141,140,-181,-203,770,748,,172,171,-179,-147,741,772,,158,182,-189,-203,741,750,,282,271,-243,-261,780,761,,235,252,-273,-268,742,746,,254,296,-264,-308,732,734,,216,249,-243,-278,705,705,,216,262,-272,-310,649,657,,176,272,-247,-282,579,647,,"1,422",0,"-1,824",-260,621,386,
,GIT,,6,,,,,,6,0,,,,,,8,0,,,,,,5,0,,,,,,8,0,,,,,,0,0,,,,,,44,2,,,,,,8,8,,,,,,10,10,,,,,,14,14,,,,,,18,18,,,,,,15,15,,,,,,15,30,,,,,,12,,
,Total (With GIT),,,878,176,181,-204,-193,855,866,124,160,164,-220,-210,814,819,115,205,205,-215,-214,815,811,120,141,140,-181,-203,778,748,153,172,171,-179,-147,741,772,114,158,182,-189,-203,785,753,87,282,271,-243,-261,788,769,86,235,252,-273,-268,752,756,74,254,296,-264,-308,746,748,81,216,249,-243,-278,723,723,70,216,262,-272,-310,664,672,71,176,272,-247,-282,594,677,78,"1,422",0,"-1,824",-260,633,386,41
,,,,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14,,,,,,,6,,,,,,,-47.5,,,,,,,-18,,,,,,,-39,,,,,,,-6,,,,,,,-6,,,,,,,8,,,,,,,4,,,,,,,4,,,,,,,19,,,,,,,-25,,,,,,,,
,"Varistor              
 Unit: KUSD",STD Inventory Setting,,,Apr-25,,,,,,,May-25,,,,,,,Jun-25,,,,,,,Jul-25,,,,,,,Aug-25,,,,,,,Sep-25,,,,,,,Oct-25,,,,,,,Nov-25,,,,,,,Dec-25,,,,,,,Jan-26,,,,,,,Feb-26,,,,,,,Mar-26,,,,,,,FY26 1H,,,,,,
,,STD Inv,BP Inv ,C/B,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days
,,,,Fct,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,BP,T/F,BP,T/F,BP,T/F,T/F
,Element,27,34,63,134,139,-80,-76,117,125,41,55,57,-94,-92,86,90,29,84,94,-86,-94,87,90,28,127,126,-102,-98,115,118,36,82,95,-96,-98,104,115,32,82,97,-101,-107,97,105,34,100,95,-97,-93,100,107,39,87,72,-90,-83,97,96,37,80,80,-87,-78,89,99,40,76,50,-83,-74,81,76,32,68,59,-81,-72,69,63,31,77,68,-71,-61,75,70,31,408,,-405,,66,70,0
,Silver Paste,17,24,46,94,94,-87,-72,54,69,24,87,87,-95,-88,61,68,21,87,87,-88,-95,66,59,18,94,94,-99,-96,54,58,17,87,87,-101,-99,44,45,13,94,94,-96,-104,43,35,12,102,102,-96,-89,50,48,17,87,87,-92,-87,44,48,18,102,87,-87,-81,59,54,22,63,55,-83,-72,40,36,16,79,63,-80,-70,38,30,14,71,63,-70,-61,39,31,14,417,,-416,,35,31,0
,Resin,42,45,17,42,42,-26,-23,33,36,38,36,36,-29,-29,43,44,45,0,0,-32,-29,12,15,14,36,36,-34,-30,17,20,18,30,30,-33,-34,17,16,15,30,30,-33,-32,13,14,13,30,30,-33,-33,10,12,11,30,30,-32,-31,8,11,11,36,30,-29,-28,15,13,16,30,36,-27,-25,18,24,29,24,30,-28,-25,15,29,44,24,0,-23,-20,16,9,12,151,,-143,,19,9,0
,Copper Wire,47,57,50,42,42,-33,-31,59,61,54,42,42,-36,-34,68,70,58,42,0,-38,-36,73,34,26,73,73,-44,-39,63,68,47,35,35,-44,-43,60,60,44,33,33,-43,-41,50,52,37,33,33,-42,-42,41,43,33,33,35,-39,-39,35,40,37,33,33,-36,-32,33,41,41,34,34,-35,-30,32,45,45,33,33,-35,-30,31,48,60,25,0,-29,-24,28,24,26,184,,-183,,38,24,0
,Solder,19,22,13,33,33,-24,-22,22,24,27,26,26,-27,-27,23,23,24,23,23,-30,-29,16,17,17,33,33,-31,-30,19,20,19,29,29,-31,-31,18,18,18,29,29,-31,-30,17,17,17,29,29,-31,-31,15,16,16,32,32,-31,-30,16,17,20,30,25,-28,-26,18,16,20,22,21,-26,-24,15,13,17,23,21,-26,-24,12,10,16,20,20,-22,-19,10,11,15,137,,-137,,12,11,0
